experiment_name,percentile,inference_interval_ticks,generation_length_ticks,generation_length_frames,constraint_status_code,constraint_status,rtt_percentile_ms,constraint1_satisfied,constraint2_satisfied,both_constraints_satisfied
local_direct_final_test,50.0,1,1,1,2,C2 Violated,27.68876950722185,True,False,False
local_direct_final_test,50.0,1,2,3,0,Valid,62.309701490448745,True,True,True
local_direct_final_test,50.0,1,3,5,0,Valid,97.40866949141486,True,True,True
local_direct_final_test,50.0,1,4,7,1,C1 Violated,132.81553999695456,False,True,False
local_direct_final_test,50.0,1,5,9,1,C1 Violated,168.45127998385576,False,True,False
local_direct_final_test,50.0,1,6,11,1,C1 Violated,204.01758448861068,False,True,False
local_direct_final_test,50.0,1,7,13,1,C1 Violated,240.04637749749236,False,True,False
local_direct_final_test,50.0,1,8,15,1,C1 Violated,276.06568099872675,False,True,False
local_direct_final_test,50.0,2,1,1,2,C2 Violated,27.68876950722185,True,False,False
local_direct_final_test,50.0,2,2,3,2,C2 Violated,62.309701490448745,True,False,False
local_direct_final_test,50.0,2,3,5,0,Valid,97.40866949141486,True,True,True
local_direct_final_test,50.0,2,4,7,0,Valid,132.81553999695456,True,True,True
local_direct_final_test,50.0,2,5,9,0,Valid,168.45127998385576,True,True,True
local_direct_final_test,50.0,2,6,11,0,Valid,204.01758448861068,True,True,True
local_direct_final_test,50.0,2,7,13,0,Valid,240.04637749749236,True,True,True
local_direct_final_test,50.0,2,8,15,1,C1 Violated,276.06568099872675,False,True,False
local_direct_final_test,50.0,3,1,1,2,C2 Violated,27.68876950722185,True,False,False
local_direct_final_test,50.0,3,2,3,2,C2 Violated,62.309701490448745,True,False,False
local_direct_final_test,50.0,3,3,5,2,C2 Violated,97.40866949141486,True,False,False
local_direct_final_test,50.0,3,4,7,2,C2 Violated,132.81553999695456,True,False,False
local_direct_final_test,50.0,3,5,9,0,Valid,168.45127998385576,True,True,True
local_direct_final_test,50.0,3,6,11,0,Valid,204.01758448861068,True,True,True
local_direct_final_test,50.0,3,7,13,0,Valid,240.04637749749236,True,True,True
local_direct_final_test,50.0,3,8,15,0,Valid,276.06568099872675,True,True,True
local_direct_final_test,50.0,4,1,1,2,C2 Violated,27.68876950722185,True,False,False
local_direct_final_test,50.0,4,2,3,2,C2 Violated,62.309701490448745,True,False,False
local_direct_final_test,50.0,4,3,5,2,C2 Violated,97.40866949141486,True,False,False
local_direct_final_test,50.0,4,4,7,2,C2 Violated,132.81553999695456,True,False,False
local_direct_final_test,50.0,4,5,9,2,C2 Violated,168.45127998385576,True,False,False
local_direct_final_test,50.0,4,6,11,0,Valid,204.01758448861068,True,True,True
local_direct_final_test,50.0,4,7,13,0,Valid,240.04637749749236,True,True,True
local_direct_final_test,50.0,4,8,15,0,Valid,276.06568099872675,True,True,True
local_direct_final_test,50.0,5,1,1,2,C2 Violated,27.68876950722185,True,False,False
local_direct_final_test,50.0,5,2,3,2,C2 Violated,62.309701490448745,True,False,False
local_direct_final_test,50.0,5,3,5,2,C2 Violated,97.40866949141486,True,False,False
local_direct_final_test,50.0,5,4,7,2,C2 Violated,132.81553999695456,True,False,False
local_direct_final_test,50.0,5,5,9,2,C2 Violated,168.45127998385576,True,False,False
local_direct_final_test,50.0,5,6,11,2,C2 Violated,204.01758448861068,True,False,False
local_direct_final_test,50.0,5,7,13,0,Valid,240.04637749749236,True,True,True
local_direct_final_test,50.0,5,8,15,0,Valid,276.06568099872675,True,True,True
local_direct_final_test,50.0,6,1,1,2,C2 Violated,27.68876950722185,True,False,False
local_direct_final_test,50.0,6,2,3,2,C2 Violated,62.309701490448745,True,False,False
local_direct_final_test,50.0,6,3,5,2,C2 Violated,97.40866949141486,True,False,False
local_direct_final_test,50.0,6,4,7,2,C2 Violated,132.81553999695456,True,False,False
local_direct_final_test,50.0,6,5,9,2,C2 Violated,168.45127998385576,True,False,False
local_direct_final_test,50.0,6,6,11,2,C2 Violated,204.01758448861068,True,False,False
local_direct_final_test,50.0,6,7,13,2,C2 Violated,240.04637749749236,True,False,False
