interval/gen_frame,3,5,7,9,11,13,15,17,19,21,23,25,27,29
1,1.849480,1.787013,1.575671,1.443298,,,,,1.423161,,,,,
2,1.820934,1.699250,1.966439,1.659953,,1.755467,,1.583426,1.468794,,1.459143,,1.458041,
3,,1.846911,1.837979,1.945416,1.989056,1.983927,2.051941,1.954341,1.628410,,1.677939,,1.572220,
4,,,,1.875660,,1.941796,1.622877,,1.594241,,,,,
5,,,,1.950075,1.880609,1.933154,1.974955,1.919394,1.674029,,,,,
6,,,,,,,,,2.061506,,,,,
7,,,,,,,,,1.969908,,,,,
8,,,,,,,,,1.952449,,,,,
9,,,,,,,,,1.960566,,,,,
10,,,,,,,,,1.669838,1.996535,,1.968182,,2.026141
